DATE,WPUSI012011
2000-01-01,144.1
2000-02-01,144.7
2000-03-01,145.4
2000-04-01,145.6
2000-05-01,144.9
2000-06-01,145.0
2000-07-01,144.4
2000-08-01,143.7
2000-09-01,143.4
2000-10-01,143.3
2000-11-01,142.7
2000-12-01,142.5
2001-01-01,142.0
2001-02-01,142.4
2001-03-01,142.4
2001-04-01,142.5
2001-05-01,144.2
2001-06-01,144.3
2001-07-01,143.4
2001-08-01,143.3
2001-09-01,143.0
2001-10-01,142.3
2001-11-01,142.1
2001-12-01,141.7
2002-01-01,142.0
2002-02-01,142.2
2002-03-01,143.2
2002-04-01,143.5
2002-05-01,143.8
2002-06-01,144.3
2002-07-01,144.7
2002-08-01,145.1
2002-09-01,145.4
2002-10-01,145.0
2002-11-01,144.6
2002-12-01,144.3
2003-01-01,144.4
2003-02-01,145.2
2003-03-01,145.2
2003-04-01,145.9
2003-05-01,145.8
2003-06-01,146.1
2003-07-01,147.0
2003-08-01,147.2
2003-09-01,149.0
2003-10-01,149.6
2003-11-01,150.2
2003-12-01,149.7
2004-01-01,150.0
2004-02-01,153.4
2004-03-01,156.5
2004-04-01,160.1
2004-05-01,162.7
2004-06-01,162.0
2004-07-01,162.2
2004-08-01,165.9
2004-09-01,167.2
2004-10-01,165.9
2004-11-01,165.5
2004-12-01,166.3
2005-01-01,168.6
2005-02-01,170.4
2005-03-01,170.0
2005-04-01,170.0
2005-05-01,168.1
2005-06-01,167.8
2005-07-01,167.2
2005-08-01,165.9
2005-09-01,168.9
2005-10-01,171.6
2005-11-01,172.7
2005-12-01,173.5
2006-01-01,177.2
2006-02-01,177.7
2006-03-01,178.3
2006-04-01,179.0
2006-05-01,179.9
2006-06-01,180.7
2006-07-01,182.3
2006-08-01,182.6
2006-09-01,183.3
2006-10-01,182.3
2006-11-01,179.8
2006-12-01,179.8
2007-01-01,181.1
2007-02-01,181.5
2007-03-01,182.5
2007-04-01,183.7
2007-05-01,184.0
2007-06-01,184.0
2007-07-01,184.2
2007-08-01,183.9
2007-09-01,183.4
2007-10-01,183.0
2007-11-01,183.3
2007-12-01,183.5
2008-01-01,184.3
2008-02-01,185.7
2008-03-01,187.8
2008-04-01,190.9
2008-05-01,195.8
2008-06-01,200.4
2008-07-01,203.4
2008-08-01,206.5
2008-09-01,206.3
2008-10-01,201.8
2008-11-01,199.6
2008-12-01,194.8
2009-01-01,193.3
2009-02-01,191.2
2009-03-01,190.2
2009-04-01,188.1
2009-05-01,186.9
2009-06-01,187.1
2009-07-01,187.6
2009-08-01,188.1
2009-09-01,189.3
2009-10-01,189.7
2009-11-01,189.2
2009-12-01,189.4
2010-01-01,190.3
2010-02-01,192.2
2010-03-01,193.7
2010-04-01,196.5
2010-05-01,198.9
2010-06-01,197.2
2010-07-01,195.6
2010-08-01,194.1
2010-09-01,193.9
2010-10-01,193.8
2010-11-01,193.6
2010-12-01,194.2
2011-01-01,195.9
2011-02-01,198.1
2011-03-01,199.7
2011-04-01,201.1
2011-05-01,201.6
2011-06-01,201.9
2011-07-01,202.6
2011-08-01,202.8
2011-09-01,202.7
2011-10-01,202.7
2011-11-01,202.2
2011-12-01,202.2
2012-01-01,203.9
2012-02-01,205.1
2012-03-01,205.7
2012-04-01,206.3
2012-05-01,206.5
2012-06-01,206.6
2012-07-01,206.2
2012-08-01,205.5
2012-09-01,206.6
2012-10-01,205.5
2012-11-01,205.6
2012-12-01,206.4
2013-01-01,208.4
2013-02-01,209.1
2013-03-01,209.8
2013-04-01,210.7
2013-05-01,209.5
2013-06-01,208.8
2013-07-01,208.3
2013-08-01,208.9
2013-09-01,208.9
2013-10-01,209.3
2013-11-01,209.8
2013-12-01,209.8
2014-01-01,211.7
2014-02-01,212.7
2014-03-01,213.4
2014-04-01,213.6
2014-05-01,214.3
2014-06-01,214.5
2014-07-01,214.8
2014-08-01,215.5
2014-09-01,215.7
2014-10-01,215.9
2014-11-01,215.8
2014-12-01,215.5
2015-01-01,215.8
2015-02-01,215.3
2015-03-01,215.0
2015-04-01,214.5
2015-05-01,213.7
2015-06-01,213.7
2015-07-01,213.7
2015-08-01,213.3
2015-09-01,212.5
2015-10-01,212.4
2015-11-01,211.7
2015-12-01,210.9
2016-01-01,211.4
2016-02-01,211.3
2016-03-01,211.6
2016-04-01,212.7
2016-05-01,213.7
2016-06-01,214.6
2016-07-01,215.3
2016-08-01,216.0
2016-09-01,215.3
2016-10-01,214.8
2016-11-01,214.5
2016-12-01,215.5
2017-01-01,217.3
2017-02-01,218.8
2017-03-01,219.7
2017-04-01,221.0
2017-05-01,221.7
2017-06-01,221.9
2017-07-01,221.9
2017-08-01,222.4
2017-09-01,223.1
2017-10-01,223.9
2017-11-01,223.9
2017-12-01,224.1
2018-01-01,225.8
2018-02-01,228.7
2018-03-01,231.3
2018-04-01,232.4
2018-05-01,236.8
2018-06-01,239.2
2018-07-01,239.6
2018-08-01,239.4
2018-09-01,240.0
2018-10-01,238.7
2018-11-01,238.8
2018-12-01,238.3
2019-01-01,238.5
2019-02-01,238.1
2019-03-01,238.1
2019-04-01,237.2
2019-05-01,237.3
2019-06-01,236.3
2019-07-01,235.6
2019-08-01,234.4
2019-09-01,234.4
2019-10-01,233.8
2019-11-01,232.8
2019-12-01,232.2
2020-01-01,233.4
2020-02-01,234.6
2020-03-01,236.3
2020-04-01,234.3
2020-05-01,233.3
2020-06-01,234.8
2020-07-01,237.0
2020-08-01,240.9
2020-09-01,246.9
2020-10-01,246.4
2020-11-01,244.3
2020-12-01,248.0
2021-01-01,256.4
2021-02-01,264.6
2021-03-01,276.7
2021-04-01,291.8
2021-05-01,305.9
2021-06-01,315.7
2021-07-01,313.542
2021-08-01,313.083
2021-09-01,317.136
2021-10-01,322.120
2021-11-01,328.940
2021-12-01,335.032
2022-01-01,345.742
2022-02-01,343.583
2022-03-01,345.852
2022-04-01,343.786
2022-05-01,353.015
2022-06-01,349.800
2022-07-01,346.790
2022-08-01,342.753
2022-09-01,336.464
2022-10-01,333.796
2022-11-01,330.369
2022-12-01,326.449
