DATE,A939RX0Q048SBEA
2000-01-01,49335.0
2000-04-01,50109.0
2000-07-01,50024.0
2000-10-01,50190.0
2001-01-01,49911.0
2001-04-01,50105.0
2001-07-01,49774.0
2001-10-01,49783.0
2002-01-01,50091.0
2002-04-01,50286.0
2002-07-01,50362.0
2002-10-01,50302.0
2003-01-01,50462.0
2003-04-01,50796.0
2003-07-01,51512.0
2003-10-01,51986.0
2004-01-01,52179.0
2004-04-01,52469.0
2004-07-01,52835.0
2004-10-01,53242.0
2005-01-01,53719.0
2005-04-01,53868.0
2005-07-01,54153.0
2005-10-01,54317.0
2006-01-01,54927.0
2006-04-01,54945.0
2006-07-01,54886.0
2006-10-01,55216.0
2007-01-01,55260.0
2007-04-01,55474.0
2007-07-01,55649.0
2007-10-01,55857.0
2008-01-01,55497.0
2008-04-01,55705.0
2008-07-01,55278.0
2008-10-01,53941.0
2009-01-01,53221.0
2009-04-01,53017.0
2009-07-01,53081.0
2009-10-01,53531.0
2010-01-01,53683.0
2010-04-01,54100.0
2010-07-01,54401.0
2010-10-01,54569.0
2011-01-01,54341.0
2011-04-01,54610.0
2011-07-01,54482.0
2011-10-01,54979.0
2012-01-01,55342.0
2012-04-01,55490.0
2012-07-01,55454.0
2012-10-01,55403.0
2013-01-01,55859.0
2013-04-01,55914.0
2013-07-01,56272.0
2013-10-01,56642.0
2014-01-01,56345.0
2014-04-01,56968.0
2014-07-01,57536.0
2014-10-01,57702.0
2015-01-01,58121.0
2015-04-01,58376.0
2015-07-01,58486.0
2015-10-01,58470.0
2016-01-01,58704.0
2016-04-01,58787.0
2016-07-01,59084.0
2016-10-01,59296.0
2017-01-01,59494.0
2017-04-01,59736.0
2017-07-01,60099.0
2017-10-01,60674.0
2018-01-01,61093.0
2018-04-01,61336.0
2018-07-01,61622.0
2018-10-01,61619.0
2019-01-01,61889.0
2019-04-01,62331.0
2019-07-01,62945.0
2019-10-01,63257.0
2020-01-01,62333.0
2020-04-01,57386.0
2020-07-01,61806.0
2020-10-01,62414.0
2021-01-01,63227.0
2021-04-01,64157.0
2021-07-01,64615.0
2021-10-01,65651.0
2022-01-01,65286.0
2022-04-01,65127.0
2022-07-01,65462.0
2022-10-01,65783.0
2023-01-01,66078.0
2023-04-01,66341.0
2023-07-01,67083.0
